#	src		coy-n	l	b	ra.icrs		de.icrs	l	b	ra.j2000	de.j2000	Ta(K)	ra		de	
===================================================================================================================================================
67	3C315		0	39.3	58.5	228.418		26.1247	39.4	58.3	15h13m40.3	+26d07m29 	61.883	228.418		26.1247
68	3C318		0	30	54.8	230.7254	20.2507	30	54.8	15h22m54.1	+20d15m03 	45.759	230.7254	20.2507
69	3C333		0	37.6	42.3	244.3151	21.1258	37.3	43	16h17m15.6	+21d07m33 	29.113	244.3151	21.1258
70	3C348		0	23	29.2	252.5484	5.0418	23	29.2	16h50m11.6	+05d02m30 	634.463	252.5484	5.0418
71	3C353		1	21.1	19.9	259.874		-0.941	21.1	19.9	17h19m29.8	-00d56m28 	527.733	259.874		-0.941
72	4C13.65		0	39.6	17.1	269.6293	13.4751	39.3	17.7	17h58m31.0	+13d28m30 	39.316	269.6293	13.4751
73	4C13.67		1	43.5	9.2	279.378		13.5118	43.5	9.2	18h37m30.7	+13d30m42 	25.535	279.378		13.5118
74	3C409		0	63.3	-5.9	303.6158	23.5813	63.4	-6.1	20h14m27.8	+23d34m53 	242.444	303.6158	23.5813
75	3C410		1	69.2	-3.8	305.0248	29.7021	69.2	-3.8	20h20m06.0	+29d42m07 	144.605	305.0248	29.7021
76	3C433		0	74.5	-17.7	320.9364	25.0702	74.5	-17.7	21h23m44.7	+25d04m13 	200.294	320.9364	25.0702
77	3C454.0		0	88.1	-35.9	343.6001	18.8934	88.1	-35.9	22h54m24.0	+18d53m36 	37.019	343.6001	18.8934
78	3C454.3		1	86	-38.1	343.4903	16.1486	86.1	-38.2	22h53m57.7	+16d08m55 	274.384	343.4903	16.1486
